Locality / Area,Average Price Range (per sq. ft.),Primary Property Types,Flats,Plots,Houses/Villas,Commercial,Nearest Hospital Distance,Nearest School Distance,Lake Distance (Approx.),Luxury Apartments?,Dist. to MP Nagar/DB Mall,Dist. to AIIMS,Dist. to Airport,Dist. to Bhopal Jn. Rly Station
Khajuri Kalan A,"₹2,100 – ₹3,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,1.7 km,8.8 km (Lower Lake),FALSE,10.2 km,12.7 km,21.2 km,11.2 km
Khajuri Kalan B,"₹2,000 – ₹3,400","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.4 km,1.9 km,9.0 km (Lower Lake),FALSE,10.4 km,12.9 km,21.4 km,11.4 km
Misrod Sec A,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,5.4 km (Shahpura),FALSE,9.5 km,6.8 km,24.5 km,14.5 km
Misrod Sec B,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.0 km,1.6 km,5.6 km (Shahpura),FALSE,9.7 km,7.0 km,24.7 km,14.7 km
Salaiya Sec A,"₹2,400 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.8 km (Kaliasot Dam),FALSE,8.5 km,7.3 km,23.8 km,13.5 km
Salaiya Sec B,"₹2,300 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.3 km,2.7 km,4.0 km (Kaliasot Dam),FALSE,8.7 km,7.5 km,24.0 km,13.7 km
Bagmugaliya Sec A,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.7 km,4.1 km (Shahpura),FALSE,7.5 km,3.1 km,22.8 km,12.8 km
Bagmugaliya Sec C,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,1.9 km,4.3 km (Shahpura),FALSE,7.7 km,3.3 km,23.0 km,13.0 km
Awadhpuri Sec A,"₹2,300 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.8 km,2.7 km,6.8 km (Lower Lake),FALSE,8.2 km,9.7 km,22.7 km,11.7 km
Awadhpuri Sec C,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.0 km,2.9 km,7.0 km (Lower Lake),FALSE,8.4 km,9.9 km,22.9 km,11.9 km
Kolar Sec A,"₹2,400 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.6 km,2.1 km,2.2 km (Kaliasot Dam),FALSE,8.2 km,7.2 km,22.2 km,13.2 km
Kolar Sec B,"₹2,300 – ₹3,700","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.8 km,2.3 km,2.4 km (Kaliasot Dam),FALSE,8.4 km,7.4 km,22.4 km,13.4 km
Kolar Sec C,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.0 km,2.5 km,2.6 km (Kaliasot Dam),FALSE,8.6 km,7.6 km,22.6 km,13.6 km
Ayodhya Byp Sec A,"₹2,300 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,2.0 km,7.2 km (Lower Lake),FALSE,8.0 km,11.0 km,17.2 km,8.0 km
Ayodhya Byp Sec C,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.6 km,2.2 km,7.4 km (Lower Lake),FALSE,8.2 km,11.2 km,17.4 km,8.2 km
Barrai Growth Corr,"₹1,900 – ₹3,400","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,4.0 km,4.5 km,7.2 km (Shahpura),FALSE,10.5 km,8.2 km,25.5 km,15.5 km
Jamalpura Sec 9,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.8 km,3.5 km (Upper Lake),FALSE,7.2 km,10.2 km,12.2 km,3.0 km
Shirdipuram Enc.,"₹2,300 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,23.2 km,14.2 km
Custom Colony Lay,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,2.8 km,8.0 km (Lower Lake),FALSE,8.2 km,11.2 km,17.2 km,8.2 km
Banjari Micro-Poc,"₹2,200 – ₹3,800","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,1.5 km,1.9 km,2.1 km (Kaliasot Dam),FALSE,8.2 km,7.2 km,22.2 km,13.2 km
Indra Vihar Colony,"₹2,600 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.5 km,1.6 km,1.8 km (Upper Lake),FALSE,6.7 km,9.7 km,12.7 km,4.0 km
E8 Extension Sec,"₹3,000 – ₹5,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.0 km,1.7 km,2.0 km (Shahpura),TRUE,4.0 km,3.2 km,19.0 km,9.0 km
Shrawan Kanta Est,"₹1,900 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.8 km,4.2 km,4.8 km (Kaliasot Dam),FALSE,9.4 km,8.2 km,23.4 km,14.4 km
Coral Casa Lane,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.8 km,3.2 km,5.2 km (Shahpura),FALSE,7.2 km,5.7 km,21.7 km,12.2 km
Kamal Bellaire,"₹2,800 – ₹4,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.2 km,1.6 km,4.3 km (Shahpura),TRUE,5.6 km,4.1 km,21.2 km,11.2 km
Surendra Palace,"₹3,100 – ₹5,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.5 km,1.2 km,1.9 km (Shahpura),FALSE,3.8 km,3.5 km,18.8 km,8.8 km
Narayan Nagar,"₹2,600 – ₹4,200","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.6 km,2.3 km,2.5 km (Shahpura),FALSE,4.5 km,3.5 km,19.5 km,9.5 km
Emerald Park City,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,1.9 km,2.1 km (Shahpura),FALSE,4.0 km,3.2 km,19.0 km,9.0 km
Indus Garden Ph 2,"₹2,200 – ₹3,600",Villa,FALSE,FALSE,TRUE,FALSE,3.5 km,3.8 km,6.0 km (Shahpura),FALSE,9.1 km,6.8 km,24.1 km,14.1 km
Geet Ganesh Villas,"₹2,300 – ₹3,800",Villa,FALSE,FALSE,TRUE,FALSE,3.2 km,3.5 km,5.7 km (Shahpura),FALSE,8.8 km,6.5 km,23.8 km,13.8 km
Geet Bungalows 5,"₹2,200 – ₹3,600",Villa,FALSE,FALSE,TRUE,FALSE,3.4 km,3.7 km,5.9 km (Shahpura),FALSE,9.0 km,6.7 km,24.0 km,14.0 km
Sanjeev Nagar,"₹2,100 – ₹3,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.8 km,2.1 km,2.2 km (Upper Lake),FALSE,11.5 km,14.5 km,3.5 km,7.5 km
Ansals Lake View,"₹4,500 – ₹8,000",Villa,FALSE,FALSE,TRUE,FALSE,1.9 km,1.3 km,0.2 km (Upper Lake),TRUE,6.8 km,9.8 km,12.8 km,4.3 km
Sabri Parisar Seg,"₹3,400 – ₹5,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.1 km,2.2 km (Shahpura),FALSE,4.5 km,3.8 km,19.5 km,9.5 km
Nupur Kunj Parisar,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Manisha Market Sec,"₹3,200 – ₹5,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.1 km,1.6 km (Shahpura),FALSE,3.8 km,3.5 km,18.8 km,8.8 km
Rishi Nagar Yojana,"₹2,800 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,2.3 km,2.8 km (Shahpura),FALSE,4.5 km,3.5 km,19.5 km,9.5 km
Nivesh Nagar,"₹2,500 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.5 km,2.2 km,2.7 km (Shahpura),FALSE,4.4 km,3.4 km,19.4 km,9.4 km
Shankar Nagar,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.6 km,1.3 km,1.8 km (Shahpura),FALSE,3.9 km,3.1 km,18.9 km,8.9 km
Jharnashwar Area,"₹2,700 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.1 km,2.6 km (Shahpura),FALSE,4.3 km,3.3 km,19.3 km,9.3 km
Antyodaya Nagar,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,24.2 km,14.2 km
Ratnagiri Yojna,"₹2,300 – ₹3,700","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.5 km,1.1 km,6.2 km (Lower Lake),FALSE,6.8 km,9.5 km,18.5 km,7.5 km
Sonia Gandhi Sec,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,6.5 km (Lower Lake),FALSE,7.1 km,9.8 km,18.8 km,7.8 km
Firdosh Nagar,"₹2,100 – ₹3,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,2.8 km,7.5 km (Upper Lake),FALSE,11.2 km,14.2 km,12.2 km,5.8 km
Moti Quarters Sec,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,2.2 km (Lower Lake),FALSE,3.2 km,6.2 km,15.0 km,5.0 km
Vasundhara Colony,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.5 km,1.9 km,2.1 km (Kaliasot Dam),FALSE,8.2 km,7.2 km,22.2 km,13.2 km
Pandit Bhimsen,"₹2,200 – ₹3,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,2.8 km,3.0 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Sherin Complex,"₹2,500 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,1.6 km,1.8 km (Upper Lake),FALSE,6.7 km,9.7 km,12.7 km,4.0 km
Vinayak Nagar,"₹1,900 – ₹3,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.6 km,4.0 km,4.6 km (Kaliasot Dam),FALSE,9.6 km,8.4 km,24.6 km,14.6 km
Siddheshwari Nagar,"₹2,100 – ₹3,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,9.2 km,8.0 km,24.2 km,14.2 km
Mahalaxmi Awasiya,"₹2,200 – ₹3,800","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.9 km,3.3 km,3.9 km (Kaliasot Dam),FALSE,8.9 km,7.7 km,23.9 km,13.9 km
Maharishi Patanjali,"₹2,300 – ₹3,700","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.6 km,3.0 km,3.6 km (Kaliasot Dam),FALSE,8.6 km,7.4 km,23.6 km,13.6 km
Barkheda Sec G,"₹2,500 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.5 km,2.1 km,5.2 km (Lower Lake),FALSE,7.5 km,5.5 km,21.5 km,11.0 km
Govindpura Sec K,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.9 km,5.7 km (Lower Lake),FALSE,5.7 km,7.7 km,18.7 km,6.7 km
Karond Mandi Sec F,"₹2,200 – ₹3,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,3.2 km,6.8 km (Upper Lake),FALSE,10.2 km,13.2 km,11.8 km,5.2 km
Khajuri Kalan D,"₹2,000 – ₹3,400","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,1.7 km,8.8 km (Lower Lake),FALSE,10.2 km,12.7 km,21.2 km,11.2 km
Misrod Sec D,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.8 km,1.4 km,5.4 km (Shahpura),FALSE,9.5 km,6.8 km,24.5 km,14.5 km
Salaiya Sec D,"₹2,300 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.8 km (Kaliasot Dam),FALSE,8.5 km,7.3 km,23.8 km,13.5 km
Bagmugaliya Sec E,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.4 km,1.7 km,4.1 km (Shahpura),FALSE,7.5 km,3.1 km,22.8 km,12.8 km
Awadhpuri Sec E,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.8 km,2.7 km,6.8 km (Lower Lake),FALSE,8.2 km,9.7 km,22.7 km,11.7 km
Kolar Sec E,"₹2,300 – ₹3,700","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.6 km,2.1 km,2.2 km (Kaliasot Dam),FALSE,8.2 km,7.2 km,22.2 km,13.2 km
Ayodhya Byp Sec E,"₹2,200 – ₹3,600","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,2.0 km,7.2 km (Lower Lake),FALSE,8.0 km,11.0 km,17.2 km,8.0 km
Chinar Woodlands,"₹2,800 – ₹4,500","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.5 km,1.9 km,4.3 km (Shahpura),TRUE,7.1 km,5.6 km,21.6 km,12.1 km
Signature Res.,"₹2,500 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.9 km,2.3 km,2.8 km (Kaliasot Dam),TRUE,7.5 km,6.2 km,22.5 km,12.5 km
Soumya Vihar,"₹2,400 – ₹3,900","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),FALSE,7.7 km,6.4 km,22.7 km,12.7 km
BDA Heights Comp,"₹2,500 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.3 km,2.7 km,3.2 km (Kaliasot Dam),FALSE,7.9 km,6.6 km,22.9 km,12.9 km
Regal Town Ph 2,"₹2,400 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,7.7 km (Lower Lake),FALSE,8.0 km,11.0 km,17.0 km,8.0 km
Sagar Landmark,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.9 km,2.3 km,7.3 km (Lower Lake),FALSE,7.5 km,10.5 km,16.5 km,7.5 km
Agrawal Heritage,"₹1,900 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.5 km,3.9 km,9.1 km (Lower Lake),FALSE,9.3 km,12.3 km,18.3 km,9.3 km
Mirchandani Belt,"₹3,000 – ₹5,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.5 km,1.2 km,1.6 km (Shahpura),TRUE,3.8 km,3.5 km,18.8 km,8.8 km
DK Cottages Sector,"₹2,300 – ₹3,800",Villa,FALSE,FALSE,TRUE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Mahendra City Dist,"₹2,400 – ₹4,000","Flat, Villa, Land, Apartment",TRUE,TRUE,TRUE,FALSE,2.5 km,2.9 km,3.6 km (Kaliasot Dam),FALSE,8.6 km,7.4 km,23.6 km,13.6 km
Windsor Aralia,"₹2,800 – ₹4,500","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,4.0 km,3.2 km,19.0 km,9.0 km
Madhuban Heights,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
CI Grand Row Houses,"₹2,500 – ₹4,100",Villa,FALSE,FALSE,TRUE,FALSE,3.0 km,3.4 km,4.0 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Vindhyachal Acad.,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.0 km,14.0 km
Fortune Landm. B,"₹2,500 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Bhojpal Shree,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.2 km,2.6 km,7.8 km (Lower Lake),FALSE,9.8 km,11.8 km,19.8 km,10.3 km
Shilpi Eco Towers,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
RKN Nakshatra Lay,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.4 km,4.0 km (Kaliasot Dam),FALSE,8.6 km,7.4 km,23.6 km,13.6 km
Sagar Sunrise Seg,"₹2,300 – ₹3,700","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Sagar Pearl Enc.,"₹2,500 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Swadesh Majesty,"₹1,900 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.6 km,4.0 km,4.6 km (Kaliasot Dam),FALSE,9.6 km,8.4 km,24.6 km,14.6 km
Sunita Geet Sky,"₹2,500 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,4.1 km,3.5 km,19.1 km,9.1 km
Fortune Atlantis 2,"₹2,600 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Sage Sun Villas,"₹2,000 – ₹3,500",Villa,FALSE,FALSE,TRUE,FALSE,3.0 km,3.4 km,4.0 km (Kaliasot Dam),FALSE,8.8 km,7.6 km,23.8 km,13.8 km
Asnani Valencia,"₹2,700 – ₹4,400","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.2 km,3.6 km,4.2 km (Kaliasot Dam),FALSE,9.0 km,7.8 km,24.0 km,14.0 km
New Ashoka Garden,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,3.8 km (Lower Lake),FALSE,3.5 km,6.5 km,15.5 km,3.5 km
Prabhat Petrol Ln,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.5 km,1.9 km,3.9 km (Lower Lake),FALSE,3.6 km,6.6 km,15.6 km,3.6 km
Big Bazaar Bawadia,"₹2,800 – ₹4,600","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.1 km,1.5 km,2.4 km (Shahpura),TRUE,5.5 km,4.1 km,20.5 km,10.5 km
Aredi Lakeview,"₹1,500 – ₹2,800","Villa, Land",FALSE,TRUE,FALSE,FALSE,5.8 km,5.1 km,6.2 km (Upper Lake),FALSE,15.8 km,18.8 km,5.8 km,10.8 km
Kiran Nagar Sector,"₹2,200 – ₹3,600","Villa, Land",FALSE,TRUE,TRUE,FALSE,3.5 km,3.9 km,4.5 km (Kaliasot Dam),FALSE,9.5 km,8.3 km,24.5 km,14.5 km
Sagar Avenue Strip,"₹2,400 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,7.7 km (Lower Lake),FALSE,7.9 km,10.9 km,16.9 km,7.9 km
Deepmala CBD,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Ultimate Heights,"₹2,600 – ₹4,000","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,4.1 km,3.5 km,19.1 km,9.1 km
G N Opera City,"₹2,400 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Urban River Ext.,"₹2,300 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.6 km,2.0 km,4.4 km (Shahpura),TRUE,7.2 km,5.7 km,21.7 km,12.2 km
Sagar Prime Zone,"₹2,500 – ₹4,100","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.1 km,1.8 km,2.2 km (Shahpura),FALSE,4.1 km,3.5 km,19.1 km,9.1 km
Sagar Lifestyle,"₹2,600 – ₹4,300","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,2.8 km,3.2 km,3.8 km (Kaliasot Dam),FALSE,8.4 km,7.2 km,23.4 km,13.4 km
Fortune Divine 2,"₹2,400 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Paras Majestic,"₹2,600 – ₹4,200","Flat, Land",TRUE,TRUE,FALSE,FALSE,0.8 km,1.1 km,1.4 km (Shahpura),TRUE,5.4 km,4.4 km,21.4 km,10.4 km
Fortune Soumya,"₹2,500 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),TRUE,7.7 km,6.4 km,22.7 km,12.7 km
Ganesh Galaxy,"₹2,400 – ₹3,800","Flat, Land",TRUE,TRUE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),TRUE,7.0 km,5.5 km,21.5 km,12.0 km
Ishaan Park Corr,"₹2,500 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),TRUE,7.7 km,6.4 km,22.7 km,12.7 km
Sarla Estate Line,"₹1,800 – ₹3,200",Villa,FALSE,FALSE,TRUE,FALSE,3.6 km,4.0 km,4.6 km (Kaliasot Dam),FALSE,9.6 km,8.4 km,24.6 km,14.6 km
Ruchi Lifescapes,"₹2,600 – ₹4,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,3.0 km,3.3 km,5.6 km (Shahpura),FALSE,8.6 km,6.3 km,23.6 km,13.6 km
Bhoomi Golden,"₹2,400 – ₹3,900","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),FALSE,7.0 km,5.5 km,21.5 km,12.0 km
Nirvana Rudraksh,"₹2,500 – ₹4,100","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),TRUE,7.7 km,6.4 km,22.7 km,12.7 km
Prabhatam Heights,"₹2,400 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),FALSE,7.0 km,5.5 km,21.5 km,12.0 km
BDA Sardar Patel,"₹2,300 – ₹3,700","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),FALSE,7.0 km,5.5 km,21.5 km,12.0 km
Signature City 2,"₹2,500 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),TRUE,7.7 km,6.4 km,22.7 km,12.7 km
Fortune EWS,"₹2,100 – ₹3,200","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),FALSE,7.0 km,5.5 km,21.5 km,12.0 km
Parshv Housing,"₹2,300 – ₹3,800","Flat, Apartment",TRUE,FALSE,FALSE,FALSE,1.4 km,1.8 km,4.2 km (Shahpura),FALSE,7.0 km,5.5 km,21.5 km,12.0 km
Arth Dynasty Sec,"₹2,400 – ₹4,000","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.1 km,2.5 km,3.0 km (Kaliasot Dam),TRUE,7.7 km,6.4 km,22.7 km,12.7 km
Custom Colony Int,"₹2,300 – ₹3,900","Flat, Land",TRUE,TRUE,FALSE,FALSE,2.2 km,2.8 km,8.0 km (Lower Lake),FALSE,8.2 km,11.2 km,17.2 km,8.2 km
